#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa1.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin" name="distribution">
#            <parameter id="kappa2.s:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin" kappa1="@kappa1.s:alignment_twin" kappa2="@kappa2.s:alignment_twin" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.6" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
15000	-4844.8571645099155	-4842.061974358366	-2.7951901515497517	-4842.061974358366	1.0603372411012486	2.0	1.5028969414051054	0.23697847889007814	0.25560665703106206	0.2392609135632135	0.26815395051564633	0.006126343665151571	1.000594837100213	4.206220538632456E-5	0.006471313975506834	-1.6188467330012393	2.0966710622924527
16000	-4847.285881410127	-4844.25823210654	-3.0276493035874803	-4844.25823210654	0.9672311539449848	2.0	1.5028969414051054	0.24500925116849046	0.2542702611241105	0.23719464818658367	0.26352583952081543	0.020085034356419586	1.0108151373214	2.8622236747274975E-4	0.016888838724510403	-1.268086929790948	2.260501036340889
17000	-4836.130820665228	-4833.631397365979	-2.499423299249033	-4833.631397365979	0.935547422719455	1.6644313225224252	1.1523290931734242	0.24500925116849046	0.2542702611241105	0.23719464818658367	0.26352583952081543	0.006958798020054796	0.9987305480804572	2.8579372312352357E-5	0.005361980308337326	-1.5413384349355406	1.3827566138962775
18000	-4837.52302818346	-4835.566114236255	-1.956913947205475	-4835.566114236255	0.977907669091866	1.6644313225224252	0.9860376055543683	0.24500925116849046	0.2542702611241105	0.22819980064224032	0.2725206870651588	0.004133706190388172	1.0010052781216972	1.942571881413357E-5	0.00440587960057351	-1.308492032127183	2.173975486738105
19000	-4841.064509008845	-4837.758496366242	-3.3060126426024183	-4837.758496366242	0.8191135139986722	1.6644313225224252	0.9860376055543683	0.24500925116849046	0.2542702611241105	0.22819980064224032	0.2725206870651588	0.015241280083213867	1.0156842536165094	3.5042943403209296E-4	0.018599925068671346	-2.0277605107574215	1.0096139823773205
20000	-4837.692818730628	-4835.1732728992065	-2.519545831421386	-4835.1732728992065	1.018912625712458	1.6644313225224252	0.9860376055543683	0.24500925116849046	0.2542702611241105	0.22819980064224032	0.2725206870651588	0.0021190307179673115	1.000038097794844	2.353648250467545E-6	0.0015339673746961264	-2.1840457844800296	1.134720170014045
21000	-4838.488817365298	-4837.04734918997	-1.4414681753279335	-4837.04734918997	0.9228136760168096	1.6644313225224252	0.9860376055543683	0.24500925116849046	0.2542702611241105	0.22819980064224032	0.2725206870651588	0.002002404368925147	1.0010690851639736	3.2721093298415622E-6	0.0018082246527282154	-1.1323368179803444	1.99051309096494
22000	-4838.753805297863	-4835.216082311268	-3.5377229865955795	-4835.216082311268	0.9697258210730808	1.6644313225224252	1.2637729625743186	0.24529895096488402	0.25398056132771696	0.22819980064224032	0.2725206870651588	0.07995168678904423	0.984800519044311	0.0049365111279652315	0.06885380252204708	-1.2201413003317794	2.089693342170356
23000	-4838.243934427183	-4834.952673044548	-3.2912613826353514	-4834.952673044548	1.0301657280103147	1.6644313225224252	1.2637729625743186	0.24529895096488402	0.25398056132771696	0.22819980064224032	0.2725206870651588	0.031202420754428764	1.0037921484392036	0.0010582588891337218	0.03270089265007686	-1.5345317170604704	1.7862460887574576
24000	-4840.453909372117	-4836.978890034547	-3.4750193375701706	-4836.978890034547	0.9478127480462459	1.6644313225224252	1.2637729625743186	0.24529895096488402	0.25398056132771696	0.22662988500468548	0.2740906027027137	0.05991152922200081	0.9592308756721024	0.0022840541434567927	0.04910701357826361	-1.3427626000474917	2.790696178875456
25000	-4839.830214617948	-4836.706506316827	-3.1237083011207085	-4836.706506316827	0.9004915305756588	1.6644313225224252	1.2637729625743186	0.2381055173140358	0.2611739949785652	0.22662988500468548	0.2740906027027137	0.04354752643012305	0.9996254800620049	0.0017380105385769932	0.04247045640024136	-1.181175477245807	2.689361313818398
26000	-4833.354157896265	-4830.446114935542	-2.908042960723132	-4830.446114935542	0.8641441277300635	1.3793308696040232	1.2637729625743186	0.2381055173140358	0.2611739949785652	0.22662988500468548	0.2740906027027137	0.0724902158349734	1.0158138771608884	0.0050998871905401566	0.07149378660322915	-0.7727107740210841	1.9892394726914457
27000	-4832.789248347306	-4826.960496944438	-5.8287514028680825	-4826.960496944438	1.0085086336021991	1.3793308696040232	1.1919721238674978	0.2381055173140358	0.2611739949785652	0.22662988500468548	0.2740906027027137	0.11553181470256178	0.9614899473844538	0.01961935301928811	0.1355817097821552	-3.3948516267896993	4.527841146253053
28000	-4831.619219994204	-4827.142876822998	-4.476343171205964	-4827.142876822998	0.9724683617285442	1.1550327414309096	1.1919721238674978	0.2381055173140358	0.2611739949785652	0.22662988500468548	0.2740906027027137	0.26891737268125193	1.0414823110721008	0.015091723679799364	0.11921615481840785	-1.3421705925404153	2.2019487936282767
29000	-4830.382452644399	-4825.020304230219	-5.362148414179506	-4825.020304230219	0.8773382457168231	0.9561244873939088	0.8820022354259565	0.2381055173140358	0.2611739949785652	0.22662988500468548	0.2740906027027137	0.03879700343037647	0.9931169537860203	0.0022659971075146648	0.04796920062343333	-3.9091917312151407	0.5933267934287892
30000	-4827.688058809391	-4824.698204133086	-2.9898546763052734	-4824.698204133086	0.8732980040951063	0.9561244873939088	1.0472440810213612	0.2381055173140358	0.2611739949785652	0.22662988500468548	0.2740906027027137	0.03704182281772526	0.9944042031306974	0.0014110440817538682	0.03723802977780453	-1.5053511873600112	3.739433926364965
31000	-4827.693899291022	-4824.981146071132	-2.7127532198902076	-4824.981146071132	1.0296680933868134	0.9561244873939088	1.0472440810213612	0.2381055173140358	0.2611739949785652	0.22662988500468548	0.2740906027027137	0.018779908551221396	0.9973311061160475	3.069001380239437E-4	0.017567043362312653	-1.5887996187447264	2.4153291136087147
32000	-4824.651065986828	-4821.741100211596	-2.9099657752317505	-4821.741100211596	0.7296809627020169	0.9561244873939088	1.0472440810213612	0.2467722666411745	0.26098915164869413	0.22681472833455654	0.265423853375575	0.23052156957538444	1.1773324819645417	0.042742511421662986	0.18647660308882133	-0.07709032503544799	2.386551768188663
33000	-4828.003447288836	-4825.366375733097	-2.637071555738553	-4825.366375733097	0.7351013802787316	0.9561244873939088	1.0472440810213612	0.2467722666411745	0.26098915164869413	0.22681472833455654	0.265423853375575	0.1551809767870506	1.178904976923004	0.031929630732500686	0.16774878102750396	-0.18367884014393887	2.260655240362691
34000	-4829.301455351304	-4824.565698062591	-4.7357572887131045	-4824.565698062591	1.0123244114513383	0.8942800705412055	1.0472440810213612	0.2467722666411745	0.26098915164869413	0.22681472833455654	0.265423853375575	0.29198901026523955	1.0826714911535165	0.023450023775418733	0.15661238238281194	-1.6538264930426763	1.5335160391053544
35000	-4828.188968474889	-4821.64529058546	-6.54367788942918	-4821.64529058546	1.267276072965844	0.8942800705412055	1.0472440810213612	0.2467722666411745	0.26098915164869413	0.2271458875190594	0.2650926941910722	0.22438003158262487	0.7788178282909353	0.04543010259184416	0.2413702839867994	-3.760038134251536	3.2601577380620923
36000	-4829.38449072498	-4825.485656451118	-3.898834273862391	-4825.485656451118	1.0797658907528338	0.8942800705412055	0.9125166026149935	0.23882255495843782	0.26098915164869413	0.23509559920179607	0.2650926941910722	0.12344741622217471	0.9639002211229988	0.014447912037408429	0.1263297871521556	-1.70216201281288	2.119187695597236
37000	-4825.560114240938	-4822.348678140049	-3.2114361008888657	-4822.348678140049	0.9102660930478087	0.8942800705412055	0.9125166026149935	0.23153549977674187	0.26098915164869413	0.24454281479135928	0.2629325337832049	0.12607912081073516	1.0386986949510093	0.009752318459171481	0.10033309320427125	-0.9981609102967117	2.258700024483235
38000	-4824.143118315966	-4820.523908963932	-3.619209352034035	-4820.523908963932	0.5927724116302077	0.8942800705412055	0.9125166026149935	0.23153549977674187	0.26098915164869413	0.24317885525161687	0.2642964933229473	0.4883803431724308	1.4695623783137568	0.30878573972295015	0.48666406524645783	0.16621340449965727	1.819628683888553
39000	-4824.245260748499	-4820.777823350257	-3.467437398242522	-4820.777823350257	0.493110256346758	0.8942800705412055	0.8256845744148792	0.23153549977674187	0.2657547182177111	0.24317885525161687	0.25953092675393036	0.7318647665625982	1.7759275972472905	0.5481656691133249	0.5730173354700243	1.1148391074157367	5.542012119424971
40000	-4824.762813753599	-4821.581885872481	-3.180927881118415	-4821.581885872481	0.5642878813573795	0.8942800705412055	0.8755598142035584	0.2367732168804822	0.2657547182177111	0.24317885525161687	0.25429320965019003	0.6353583366127384	1.740037732345369	0.40527463903091243	0.500198502776955	1.0985694211645138	2.9285274137973345
41000	-4828.361742223593	-4822.748038597397	-5.613703626196058	-4822.748038597397	0.5142242417614207	0.8942800705412055	0.8755598142035584	0.2367732168804822	0.2657547182177111	0.24317885525161687	0.25429320965019003	0.7910666590432688	1.878567119832091	0.5468015671798592	0.552842360904884	-0.8255696842601257	8.359374713315457
42000	-4827.01221705062	-4824.811128371228	-2.2010886793925764	-4824.811128371228	0.3880725985261233	0.9389516291482652	0.8755598142035584	0.24265395196742776	0.2603121492500092	0.24317885525161687	0.2538550435309464	0.7963059619161929	1.9131241255621618	0.6059725234177168	0.5752854396302263	2.6186262392396213	5.119616188631754
43000	-4825.6348203838315	-4821.576022567932	-4.05879781589942	-4821.576022567932	0.6592734623775911	0.9389516291482652	0.8755598142035584	0.24870263586830543	0.26266756533627883	0.2347747552644695	0.2538550435309464	0.611685637719537	1.3759533565702415	0.3583507776672704	0.5920712070802957	0.15605386766335094	3.1129934035868603
44000	-4824.462025928354	-4820.968207777794	-3.493818150559904	-4820.968207777794	0.6672540393664956	0.9389516291482652	0.8755598142035584	0.24870263586830543	0.2646392112553857	0.2328031093453626	0.2538550435309464	0.5193420223707133	1.3991600864564593	0.35041135766368325	0.4853939050279665	0.403885882912018	3.1975097451397514
45000	-4824.631740809581	-4821.275050931643	-3.3566898779380927	-4821.275050931643	0.7824877932541334	0.8518129239355489	0.8755598142035584	0.24870263586830543	0.2646392112553857	0.2328031093453626	0.2538550435309464	0.29323378562356744	1.1706772538792676	0.06903409648401485	0.23059548771131014	-0.34230923579833483	2.2635861329777764
46000	-4824.5821804560865	-4819.242591228697	-5.339589227389151	-4819.242591228697	0.8580354803256032	0.8518129239355489	0.9442058126636678	0.24870263586830543	0.2646392112553857	0.2328031093453626	0.2538550435309464	0.44524626721874117	1.1836229596218588	0.15017124119078604	0.36439632341989103	-1.7123000035628246	4.364344403576408
47000	-4824.239418093242	-4819.213469032233	-5.025949061009979	-4819.213469032233	1.00203266428427	0.8518129239355489	1.095475683950532	0.24902588194431488	0.2646392112553857	0.2328031093453626	0.2535317974549369	0.33793875460751005	1.0301984232205674	0.12937855767563336	0.30850714503629634	-1.7515022159993157	3.2453916186087794
48000	-4823.56957225739	-4820.142662956938	-3.4269093004522073	-4820.142662956938	0.8076311213199644	0.8518129239355489	1.095475683950532	0.24902588194431488	0.2550009535196086	0.2424413670811397	0.2535317974549369	0.2842046711557214	1.1038280229362087	0.024214621933630474	0.14563893375173498	-0.3728919092332279	2.7053399828013314
49000	-4823.960299068341	-4820.517076746706	-3.443222321634069	-4820.517076746706	0.875232356355891	0.8518129239355489	1.095475683950532	0.24902588194431488	0.2550009535196086	0.2507725886878152	0.2452005758482614	0.1628250193626871	1.033805961265054	0.024969596024556277	0.1575995220668503	-0.9634872422510119	2.9261413347941483
50000	-4826.260296422022	-4823.134522498011	-3.125773924010757	-4823.134522498011	0.7634790478781236	0.6828103326776064	1.095475683950532	0.24902588194431488	0.2550009535196086	0.2507725886878152	0.2452005758482614	0.20986121367425514	1.063838604650152	0.044295005464725326	0.18833525004105753	-0.44730226623289715	2.184118556827689
51000	-4824.142431489629	-4819.868268671002	-4.274162818627458	-4819.868268671002	0.9336555789650338	0.8670170232354539	1.095475683950532	0.24902588194431488	0.2550009535196086	0.2507725886878152	0.2452005758482614	0.24382913507515602	0.966455381416711	0.04804773439117069	0.23937852538814633	-1.3917607677609731	2.868833227873872
52000	-4826.313365508857	-4822.65139959546	-3.661965913397065	-4822.65139959546	0.9533791342840269	0.8670170232354539	0.9767061556318342	0.24318703810173137	0.26083979736219215	0.2507725886878152	0.2452005758482614	0.03461867084788407	0.99862057698916	0.0013705028343459296	0.037123393890518656	-2.2699098449537924	3.9486319028637418
53000	-4824.454951082067	-4820.954980320332	-3.4999707617356965	-4820.954980320332	0.9986610070395734	0.8670170232354539	0.9767061556318342	0.2433827744406665	0.260644061023257	0.2507725886878152	0.2452005758482614	0.0922330789868737	1.0440761911565521	0.009324106409375879	0.0954622988473451	-1.5058943575734336	2.7203805217617223
54000	-4824.025110021246	-4821.651452288495	-2.373657732751121	-4821.651452288495	1.0435991768600459	0.9431321500772497	0.9767061556318342	0.2433827744406665	0.260644061023257	0.2507725886878152	0.2452005758482614	0.005909389332029421	0.9974979450086451	2.149715571664427E-5	0.004643691083828912	-1.8458207641154034	1.3698640533427768
55000	-4822.82933398506	-4820.102793279472	-2.726540705587403	-4820.102793279472	0.8847005489148758	0.8657438234781228	0.9767061556318342	0.2433827744406665	0.260644061023257	0.2507725886878152	0.2452005758482614	0.01176109726858544	0.9949614071568725	1.0849686502300971E-4	0.010426201648238912	-1.8917769860222045	4.088393998958283
56000	-4821.248374903875	-4819.570232590848	-1.6781423130267088	-4819.570232590848	0.9752747200232291	0.8657438234781228	0.9674054826594085	0.2433827744406665	0.260644061023257	0.24853440440919033	0.2474387601268863	0.005007700671163711	1.0023222434526593	2.569044078169307E-5	0.005058100564974254	-1.2574320718341432	2.2512303543436647
57000	-4823.865597758741	-4821.741159447878	-2.1244383108633147	-4821.741159447878	0.9623694438205644	0.8657438234781228	1.0576775654703563	0.2433827744406665	0.260644061023257	0.24853440440919033	0.2474387601268863	0.0015353244411324383	1.0002936264043452	3.1713132901838474E-6	0.00178045347710626	-2.2243499525580495	3.5995653968747408
58000	-4824.197762223286	-4822.399072754673	-1.7986894686125396	-4822.399072754673	0.8404245028109226	0.8657438234781228	1.0576775654703563	0.2433827744406665	0.260644061023257	0.24853440440919033	0.2474387601268863	0.013077039064364748	0.9993772111948804	8.455808014179329E-5	0.009200691086834002	-0.882148974758934	3.015094229201239
59000	-4824.710787389794	-4823.429865265686	-1.2809221241077164	-4823.429865265686	0.8484700956536816	0.8657438234781228	1.0576775654703563	0.2433827744406665	0.260644061023257	0.24853440440919033	0.2474387601268863	0.005837265536987391	1.0003566929861656	3.562879076530471E-5	0.0059689917320412955	-0.7546954441036107	1.893906655552657
60000	-4825.944002946162	-4824.450184357589	-1.4938185885734088	-4824.450184357589	1.1770183866497632	0.940359527615312	1.0576775654703563	0.2433827744406665	0.260644061023257	0.24853440440919033	0.2474387601268863	4.054126700082843E-4	0.9998153583061958	1.4376160852997133E-7	3.7919853017539195E-4	-2.1854320632594684	2.021750795431152
